date,nav,market price
20240429,-29.0,
20240502,0.9253,0.9279999732971191
20240503,0.9509,0.9520000219345093
20240507,1.0217,1.0160000324249268
20240508,0.9986,0.9950000047683716
20240509,0.9846,0.9800000190734863
20240513,0.9895,0.996999979019165
20240514,0.9924,0.9940000176429749
20240517,1.0618,1.059999942779541
20240520,1.0692,1.0720000267028809
20240522,1.1176,1.1180000305175781
20240523,1.1151,1.1139999628067017
20240527,1.0973,1.100000023841858
20240528,1.0855,1.0859999656677246
20240529,1.0921,1.0880000591278076
20240531,1.0932,1.093999981880188
20240603,1.104,1.1059999465942383
20240605,1.1398,1.1440000534057617
20240606,1.1361,1.1399999856948853
20240611,1.0836,1.0839999914169312
20240612,1.0783,1.0820000171661377
20240614,1.0716,1.0740000009536743
20240617,1.0586,1.062000036239624
20240618,1.0504,1.0499999523162842
20240620,1.0522,1.059999942779541
20240621,1.033,1.0299999713897705
20240625,0.9739,0.9710000157356262
20240626,0.9864,0.9890000224113464
20240628,0.9824,0.9829999804496765
20240702,1.0011,1.003999948501587
20240704,0.9359,0.9350000023841858
20240705,0.8674,0.8759999871253967
20240709,0.9159,0.9169999957084656
20240710,0.9444,0.9470000267028809
20240711,0.9291,0.9340000152587891
20240715,1.0058,1.003999948501587
20240716,1.0081,1.0099999904632568
20240718,1.0362,1.0360000133514404
20240719,1.0214,1.0219999551773071
20240723,1.0627,1.0640000104904175
20240724,1.0544,1.055999994277954
20240726,1.0709,1.0679999589920044
20240729,1.1107,1.1080000400543213
20240730,1.0687,1.065999984741211
20240801,1.0277,1.0240000486373901
20240802,1.0267,1.0240000486373901
20240806,0.8919,0.8949999809265137
20240807,0.9077,0.9100000262260437
20240809,0.9742,0.9700000286102295
20240812,0.9328,0.9380000233650208
20240814,0.9715,0.9710000157356262
20240815,0.9263,0.9290000200271606
20240816,0.9333,0.9319999814033508
20240820,0.9723,0.9700000286102295
20240821,0.9527,0.9509999752044678
20240823,0.9754,0.9729999899864197
20240826,1.0174,1.0140000581741333
20240828,0.9411,0.9359999895095825
20240829,0.9516,0.9509999752044678
20240902,0.9186,0.9210000038146973
20240903,0.9416,0.9470000267028809
20240904,0.9026,0.9089999794960022
20240909,0.8752,0.8799999952316284
20240910,0.9105,0.9100000262260437
20240912,0.9256,0.9259999990463257
20240913,0.9243,0.9259999990463257
20240919,0.9901,0.9890000224113464
20240920,1.0139,1.0099999904632568
20240924,1.0116,1.0099999904632568
20240925,1.0172,1.0180000066757202
20240926,1.0168,1.0140000581741333
20241002,0.984,0.984000027179718
20241003,0.975,0.972000002861023
20241007,1.0127,1.0119999647140503
20241008,0.9917,0.9919999837875366
20241010,0.9714,0.972000002861023
20241014,1.0228,1.0260000228881836
20241016,1.0659,1.0700000524520874
20241018,1.0834,1.0779999494552612
20241021,1.093,1.093999981880188
20241023,1.0647,1.065999984741211
20241024,1.0691,1.0700000524520874
20241028,1.0882,1.090000033378601
20241029,1.1301,1.1319999694824219
20241031,1.1516,1.1540000438690186
20241101,1.1017,1.1059999465942383
20241105,1.0942,1.093999981880188
20241106,1.1799,1.1720000505447388
20241108,1.2105,1.2120000123977661
20241111,1.2895,1.2960000038146973
20241112,1.4247,1.4220000505447388
20241114,1.431,1.4520000219345093
20241115,1.4015,1.4019999504089355
20241119,1.4617,1.468000054359436
20241120,1.4758,1.4859999418258667
20241122,1.58,1.5920000076293945
20241125,1.5612,1.5679999589920044
20241127,1.4854,1.4859999418258667
20241128,1.5206,1.5219999551773071
20241129,1.5273,1.5260000228881836
20241203,1.519,1.5219999551773071
20241204,1.536,1.5399999618530273
20241206,1.5591,1.565999984741211
20241209,1.5749,1.5880000591278076
20241211,1.551,1.5520000457763672
20241212,1.5998,1.5959999561309814
20241216,1.6714,1.6720000505447388
20241217,1.6986,1.6959999799728394
20241218,1.6546,1.6519999504089355
20241220,1.5548,1.5499999523162842
20241223,1.5118,1.5080000162124634
20241227,1.5167,1.5019999742507935
20241230,1.4851,1.4839999675750732
20250102,1.5188,1.5140000581741333
20250103,1.5308,1.527999997138977
20250107,1.6169,1.6119999885559082
20250108,1.5169,1.5180000066757202
20250109,1.4886,1.4819999933242798
20250113,1.4867,1.4859999418258667
20250114,1.5075,1.5080000162124634
20250116,1.5831,1.5820000171661377
20250117,1.6124,1.6139999628067017
20250121,1.6208,1.6200000047683716
20250122,1.6717,1.6679999828338623
20250124,1.6648,1.6720000505447388
20250127,1.5668,1.5700000524520874
20250128,1.6336,1.6339999437332153
20250204,1.5712,1.5640000104904175
20250205,1.5491,1.5499999523162842
20250207,1.5377,1.5299999713897705
20250210,1.5433,1.5460000038146973
20250212,1.5224,1.5180000066757202
20250213,1.5237,1.5180000066757202
20250217,1.5247,1.5199999809265137
20250218,1.5139,1.5160000324249268
20250219,1.5171,1.5119999647140503
20250221,1.5601,1.5579999685287476
20250224,1.5195,1.5160000324249268
20250226,1.4068,1.4079999923706055
20250227,1.3678,1.3660000562667847
20250303,1.4576,1.4579999446868896
20250304,1.3233,1.3140000104904175
20250306,1.4519,1.4479999542236328
20250307,1.3999,1.3960000276565552
20250311,1.2733,1.2760000228881836
20250312,1.2949,1.3079999685287476
20250313,1.3196,1.3140000104904175
20250317,1.3208,1.3220000267028809
20250318,1.3147,1.3179999589920044
20250320,1.3596,1.3580000400543213
20250321,1.3297,1.3279999494552612
20250325,1.3705,1.3660000562667847
20250326,1.3941,1.3940000534057617
20250328,1.3535,1.3480000495910645
20250331,1.2974,1.2940000295639038
20250401,1.3216,1.3179999589920044
20250403,1.3175,1.3179999589920044
20250407,1.1868,1.190000057220459
20250409,1.228,1.2259999513626099
20250410,1.2945,1.2899999618530273
20250414,1.3369,1.3339999914169312
20250415,1.355,1.3580000400543213
20250417,1.341,1.3380000591278076
20250422,1.3972,1.399999976158142
20250423,1.4822,1.4880000352859497
20250425,1.4815,1.4859999418258667
20250428,1.4973,1.5
20250430,1.4978,1.4980000257492065
20250502,1.5268,1.5260000228881836
20250507,1.5298,1.5299999713897705
20250508,1.5684,1.5720000267028809
20250512,1.6614,1.6540000438690186
20250513,1.6235,1.621999979019165
20250514,1.6373,1.6380000114440918
20250516,1.6426,1.6399999856948853
20250519,1.6257,1.628000020980835
20250521,1.6915,1.6920000314712524
20250522,1.7508,1.7660000324249268
20250526,1.7378,1.7359999418258667
20250527,1.7265,1.7339999675750732
20250529,1.7046,1.7100000381469727
20250530,1.6646,1.659999966621399
20250602,1.6641,1.6640000343322754
20250604,1.6643,1.6579999923706055
20250605,1.6512,1.6460000276565552
20250609,1.6673,1.6699999570846558
20250610,1.7264,1.7300000190734863
20250612,1.7008,1.6979999542236328
20250613,1.6527,1.656000018119812
20250617,1.6843,1.687999963760376
20250618,1.6561,1.659999966621399
20250619,1.6535,1.6540000438690186
20250623,1.6085,1.6080000400543213
20250624,1.6639,1.659999966621399
20250626,1.7037,1.7000000476837158
20250627,1.693,1.690000057220459
20250702,1.6883,1.694000005722046
20250703,1.7242,1.7239999771118164
20250707,1.7176,1.7239999771118164
20250708,1.7087,1.715999960899353
20250710,1.7557,1.75600004196167
20250711,1.8569,1.8600000143051147
20250714,1.932,1.9359999895095825
20250716,1.8636,1.8639999628067017
20250717,1.8639,1.8660000562667847
20250721,1.8819,1.878000020980835
20250722,1.8632,1.8619999885559082
20250724,1.8601,1.8660000562667847
20250725,1.8172,1.812000036239624
20250729,1.873,1.871999979019165
20250730,1.863,1.8639999628067017
20250731,1.8703,1.871999979019165
20250804,1.8048,1.809999942779541
20250805,1.7977,1.7979999780654907
20250807,1.808,1.8079999685287476
20250808,1.8402,1.8480000495910645
20250812,1.8746,1.8799999952316284
20250813,1.8801,1.8880000114440918
20250815,1.8733,1.878000020980835
20250818,1.817,1.8140000104904175
20250819,1.8085,1.8079999685287476
20250821,1.7908,1.7920000553131104
20250822,1.7801,1.784000039100647
20250826,1.7328,1.7400000095367432
20250827,1.7446,1.7400000095367432
20250829,1.7369,1.7339999675750732
20250901,1.7082,1.7200000286102295
20250903,1.7436,1.7519999742507935
20250904,1.7381,1.7380000352859497
20250905,1.7721,1.7740000486373901
20250909,1.7788,1.781999945640564
20250910,1.7634,1.7699999809265137
20250912,1.8129,1.809999942779541
20250915,1.8251,1.8179999589920044
20250917,1.8437,1.8420000076293945
20250918,1.8424,1.8420000076293945
20250922,1.7739,1.7680000066757202
20250923,1.7774,1.7740000486373901
20250924,1.7705,1.7699999809265137
20250926,1.7186,1.7200000286102295
20250929,1.7561,1.7599999904632568
20251002,1.864,1.8660000562667847
20251003,1.8838,1.8839999437332153
20251008,1.9104,1.909999966621399
20251009,1.9159,1.9160000085830688
20251013,1.8129,1.812000036239624
20251014,1.7577,1.7519999742507935
20251015,1.7674,1.7680000066757202
20251017,1.6671,1.659999966621399
20251020,1.7474,1.746000051498413
20251022,1.6967,1.7059999704360962
20251023,1.7215,1.722000002861023
20251027,1.8186,1.815999984741211
20251028,1.7929,1.7979999780654907
20251031,1.7193,1.722000002861023
20251103,1.6868,1.6859999895095825
20251105,1.599,1.5959999561309814
20251106,1.6198,1.6139999628067017
20251107,1.5977,1.593999981880188
20251111,1.6477,1.6440000534057617
20251112,1.6221,1.6200000047683716
20251114,1.5258,1.5199999809265137
20251117,1.4977,1.4980000257492065
20251119,1.434,1.444000005722046
20251120,1.4426,1.4500000476837158
20251124,1.3634,1.3680000305175781
20251125,1.3759,1.371999979019165
20251126,1.3761,1.378000020980835
20251128,1.4306,1.4199999570846558
20251201,1.3528,1.3600000143051147
20251203,1.4596,1.4620000123977661
20251204,1.4607,1.465999960899353
20251208,1.435,1.437999963760376
20251209,1.416,1.4160000085830688
20251211,1.4137,1.4179999828338623
20251212,1.4487,1.4459999799728394
20251215,1.4044,1.409999966621399
20251217,1.3603,1.3619999885559082
20251218,1.3589,1.3600000143051147
20251222,1.395,
20251223,,1.371999979019165
